" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0161831","nm0225807","Le moulin dans le soleil","Le moulin dans le soleil","1938","Comedy"
"tt0162049","nm0925564","Wots All th' Shootin' fer","Wots All th' Shootin' fer","1940","Animation,Short"
"tt0162688","nm0436511","Fighting Soldiers","Tatakau heitai","1939","Documentary"
"tt0169776","nm0162272","Dobre situovaný pán","Dobre situovaný pán","1939",NULL
"tt0169970","nm0560803,nm0333874","Grey contre X","Grey contre X","1940","Crime"
"tt0170062","nm0669840","Irish and Proud of It","Irish and Proud of It","1938","Comedy,Romance"
"tt0170179","nm0693398","Lumières de Paris","Lumières de Paris","1938","Musical,Romance"
"tt0171964","nm0700259","Ça... c'est du sport","Ça... c'est du sport","1938","Comedy"
"tt0178264","nm0604239","Un bebé de contrabando","Un bebé de contrabando","1940",NULL
"tt0178362","nm0063246","Cándida","Cándida","1939","Comedy,Drama"
"tt0180594","nm0061850","Cantando llegó el amor","Cantando llegó el amor","1938",NULL
"tt0180664","nm0057767","E o Circo Chegou","E o Circo Chegou","1940","Comedy"
"tt0180770","nm0063246","Jettatore","Jettatore","1938","Drama,Musical"
"tt0183773","nm0299348","Shina no yoru","Shina no yoru","1940","Drama"
"tt0185836","nm0218119","24 horas en libertad","24 horas en libertad","1939","Comedy"
"tt0190320","nm0147143","With Broken Wings","Con las alas rotas","1938","Drama,Family"
"tt0192987","nm0239877","Au soleil de Marseille","Au soleil de Marseille","1938",NULL
"tt0193043","nm0409965","El cantor de Buenos Aires","El cantor de Buenos Aires","1940","Musical"
"tt0193063","nm0409965","La cieguita de la Avenida Alvear","La cieguita de la Avenida Alvear","1939",NULL
"tt0195080","nm0595768","A Woman from the Street","Una mujer de la calle","1939","Drama"
"tt0209102","nm0000036","Life in Sometown, U.S.A.","Life in Sometown, U.S.A.","1938","Short"
"tt0214020","nm0220820","Prithvi Putra","Prithvi Putra","1938",NULL
"tt0214074","nm0220846","Sanskar","Sanskar","1940",NULL
"tt0214104","nm0234389","Secretary","Secretary","1938",NULL
"tt0214406","nm0304358","Abhisarika","Abhisarika","1938",NULL
"tt0214695","nm0963374","The Story of Charles Goodyear","The Story of Charles Goodyear","1939","Drama,Short"
"tt0174780","nm0147495","International Revels","International Revels","1940",NULL
"tt0175599","nm0919041","Eternal Prague","Eternal Prague","1940","Documentary"
"tt0187463","nm0139151","La route enchantée","La route enchantée","1938","Comedy,Musical"
"tt0205401","nm0508496","Sheng si hen","Sheng si hen","1939",NULL
"tt0206286","nm0508496","The Young Mistress Fan","Shao nai nai de shan zi","1939","Drama"
"tt0211432","\N","Information Please: Series 2, No. 2","Information Please: Series 2, No. 2","1940","Game-Show,Short"
"tt0221079","nm0645328","The Tragic Circus","El circo trágico","1939","Drama"
"tt0224435","nm0385872","Between the Parents","Zwischen den Eltern","1938","Drama"
"tt0129141","nm0196066","Hidráulica Agrícola","Hidráulica Agrícola","1939","Documentary,Short"
"tt0232085","nm0451844","Meri Aankhen","Meri Aankhen","1939",NULL
"tt0230711","nm0904935","Rosa de Xochimilco","Rosa de Xochimilco","1939","Drama"
"tt0228764","nm0951492","Rapsodia mexicana","Rapsodia mexicana","1938","Drama"
"tt0234276","nm0548454,nm1589661","Mr. Smith Goes Ghost","Mr. Smith Goes Ghost","1940","Comedy,Music,Short"
"tt0239405","nm0017893","Fizkulturnyy parad","Fizkulturnyy parad","1938",NULL
"tt0248557","nm0938209","Tip auf Amalia","Tip auf Amalia","1940",NULL
"tt0250053","nm0251456","Le tombeau hindou","Le tombeau hindou","1938","Adventure"
"tt0251326","nm0665570","The Planes of Hindusthan","The Planes of Hindusthan","1940","Documentary"
"tt0251754","nm0636619","Jnanambika","Jnanambika","1940",NULL
"tt0252315","nm0029363","Man in a Shell","Chelovek v futlyare","1939","Drama"
"tt0244778","nm0903275","Schwarz gegen Blond","Schwarz gegen Blond","1939","Short"
"tt0245005","nm0618935","Bhukailasa","Bhukailasa","1938",NULL
"tt0258492","nm0494386","Les chevaliers de la cloche","Les chevaliers de la cloche","1938","Comedy"
"tt0254138","nm0649745","Engagement with Hurdles","Arravon met' empodion","1938","Comedy,Romance"
"tt0255850","nm0774989","Bossemans et Coppenolle","Bossemans et Coppenolle","1938","Comedy"
"tt0261493","\N","Telecrime","Telecrime","1938","Crime,Drama"
"tt0259361","nm0707892","Illalu","Illalu","1940","Drama"
"tt0264642","nm0711753","Ghunghatwali","Ghunghatwali","1938",NULL
"tt0264823","nm0219132","Magie africaine","Magie africaine","1938","Documentary"
"tt0266001","nm0774989","Visages de France","Visages de France","1938","Documentary,Short"
"tt0259415","nm0707892","Malapilla","Malapilla","1938","Drama"
"tt0259920","nm0774989","Ceux qui veillent","Ceux qui veillent","1940","Documentary,War"
"tt0281003","nm0482735","Souls in Distress","Nufus haira","1938","Drama,Romance"
"tt0279675","nm0923045","The Bandits of Cold River","Los bandidos de Río Frío","1938","Drama,War"
"tt0280449","nm0607704","Return to the Earth","El awda il al rif","1940",NULL
"tt0280805","nm0238254","Kacha Devayani","Kacha Devayani","1938","Drama,Romance"
"tt0280855","nm0469728","Lachine, the People's Hope","Lachine","1938","Drama,Romance"
"tt0292591","\N","The Movies March On","The Movies March On","1939","Documentary,Short"
"tt0290197","nm1024472","Gennem Midtsjælland","Gennem Midtsjælland","1940","Short"
"tt0293892","nm0175265","Out Where the Stars Begin","Out Where the Stars Begin","1938","Comedy,Musical,Short"
"tt0293956","nm1039385","Titans of the Deep","Titans of the Deep","1938","Action,Adventure"
"tt0292597","nm0160280","The Miss They Missed","The Miss They Missed","1938","Comedy,Short"
"tt0310896","nm0275998","Civilian Front","Civilian Front","1940","Documentary,Short"
"tt0311985","nm1140698","La voz del tambor","La voz del tambor","1938",NULL
"tt0323667","nm0046176","Pohorje","Pohorje","1940",NULL
"tt0326206","\N","Srednjevekovni manastiri u Srbiji","Srednjevekovni manastiri u Srbiji","1940","Documentary"
"tt0361333","nm0487237","Barnyard Romeo","Barnyard Romeo","1938","Animation,Short"
"tt0345065","nm0292573","Dogs You Seldom See","Dogs You Seldom See","1940","Documentary,Short"
"tt0345085","nm0628149,nm0886447","Maintain the Right","Maintain the Right","1940","Adventure,Crime,Short"
"tt0366493","nm1374136","Front of Steel","Front of Steel","1940","Documentary"
"tt0351915","nm0437414","Uncle Sol Solves It","Uncle Sol Solves It","1938","Comedy,Music,Short"
"tt0413367","\N","There's Always Juliet","There's Always Juliet","1938","Comedy"
"tt0401681","nm0125888","O Nego Está Sambando","O Nego Está Sambando","1939","Documentary,Music,Short"
"tt0415966","\N","Master Peter's Puppet Show","Master Peter's Puppet Show","1938","Music"
"tt0416486","\N","The Ascent of F6","The Ascent of F6","1938",NULL
"tt0434217","nm1012461","Das Mädchen von St. Coeur","Das Mädchen von St. Coeur","1940","Short"
"tt0417058","\N","Poetic Justice","Poetic Justice","1938","Crime,Drama"
"tt0417070","\N","Queens of France","Queens of France","1938","Comedy,Short"
"tt0417211","nm0349310","Trelawny of the Wells","Trelawny of the Wells","1938","Comedy"
"tt0417867","\N","The King of Spain's Daughter","The King of Spain's Daughter","1939",NULL
"tt0422473","\N","The Insect Play","The Insect Play","1939",NULL
"tt0422609","nm0411632","The Giant","Kyojin-den","1938","Drama"
"tt0423555","nm0556079,nm0959977","Yakko no Takohei: Otomo wa tsuyoi ne","Yakko no Takohei: Otomo wa tsuyoi ne","1938","Animation,Short"
"tt0419423","nm0765832","Aizen tsubaki","Aizen tsubaki","1940",NULL
"tt0429150","nm0879624","Tajemství lucerny","Tajemství lucerny","1938","Short"
"tt0434245","\N","Nyannyan-myao hoi","Nyannyan-myao hoi","1940","Documentary,Short"
"tt0441513","nm6648671","Sôtô ashuragai","Sôtô ashuragai","1938","Drama"
"tt0461785","nm0261579","Huling habilin","Huling habilin","1940","Drama"
"tt0451658","nm0500676","Ein Bombengeschäft","Ein Bombengeschäft","1939","Short"
"tt0451959","nm0901874","Das verlorene Lächeln","Das verlorene Lächeln","1938","Short"
"tt0494078","nm2113106","Der größte Fahrstuhl der Welt","Der größte Fahrstuhl der Welt","1938","Documentary,Short"
"tt0476205","nm0145527","Doña Clara","Doña Clara","1938","Musical,Romance"
"tt0497836","nm0776369","Stammgäste an der Nordsee","Stammgäste an der Nordsee","1938","Documentary,Short"
"tt0777758","nm2015202","Bahaghari","Bahaghari","1940",NULL
"tt0787096","nm1968971","Nagiisang Sangla","Nagiisang Sangla","1940","Drama"
"tt0787248","nm2744806","Yaman ng mahirap","Yaman ng mahirap","1939","Drama"
"tt0787998","nm1968971","Ako'y maghihintay","Ako'y maghihintay","1938",NULL
"tt0788055","nm2010974","Dating sumpaan","Dating sumpaan","1940",NULL
"tt0788126","\N","Mapait na lihim","Mapait na lihim","1938",NULL
"tt0844007","nm0688031","Seven Plum Trees","Hétszilvafa","1940","Comedy"
"tt0807058","nm1806571","Der Trichter. (Nr. III)","Der Trichter. (Nr. III)","1939","Short"
"tt0984026","nm0270838","The Dragon of Komodo","Draken pa Komado","1938","Documentary,Short"
"tt0961146","nm2552954","Kaddour à Paris","Kaddour à Paris","1938","Short"
"tt1058035","nm0190677","Zúgnak a szirénák","Zúgnak a szirénák","1939",NULL
"tt1008953","nm0823864","Screen Snapshots Series 18, No. 2","Screen Snapshots Series 18, No. 2","1938","Documentary,Short"
"tt0029627","nm0134252","Swing It, Sailor!","Swing It, Sailor!","1938","Adventure,Comedy"
"tt1067687","nm0886377","Der anonyme Brief","Der anonyme Brief","1939","Short"
